run_date,indicator_id,metric,data_date,data_url,delay_warning,verdict,trend,conclusion,overall_credibility
2026-05-22,3,TLT 長天期美債 ETF 價格,2026-05-22,https://finance.yahoo.com/quote/TLT,,尚未明朗,僅提供2026-05-22的單日收盤價84.68，缺乏發言日期（2026-05-15）或更早的數據作為比較基準，尚無法判斷其自預測以來的價格走勢。,單日數據不足，無法判斷債券價格是否符合下降預測。,尚未明朗
2026-05-25,1,元大台灣50 (0050) / 台積電 (2330) 股價,2026-05-25,https://finance.yahoo.com/quote/0050.TW,,尚未明朗,目前數據僅提供單日收盤價（2026-05-25為100.80），無法判斷其自預測日（2026-05-15）起的趨勢。,0050股價僅有單日數據，無法驗證其是否符合上升預期。,尚未明朗
2026-05-25,2,台灣六都房價指數,unknown,https://www.macromicro.me/charts/25227/taiwan-house-price-index,,尚未明朗,數據因防火牆機制無法取得，因此無法判斷趨勢。,房價指數數據無法取得，故無法驗證是否符合上升預期。,尚未明朗
2026-05-25,3,TLT 長天期美債 ETF 價格,2026-05-22,https://finance.yahoo.com/quote/TLT,⚠️,尚未明朗,目前數據僅提供單日收盤價（2026-05-22為84.68），無法判斷其自預測日（2026-05-15）起的趨勢。,TLT美債價格僅有單日數據，無法驗證其是否符合下降預期。,尚未明朗
2026-05-27,1,元大台灣50 (0050) / 台積電 (2330) 股價,2026-05-27,https://finance.yahoo.com/quote/0050.TW,,尚未明朗,原始數據顯示為 'nan'，缺乏有效的股價資訊，無法判斷趨勢。,因缺乏有效數據，無法判斷元大台灣50/台積電的股價趨勢或是否符合預測。,尚未明朗
2026-05-27,2,台灣六都房價指數,unknown,https://www.macromicro.me/charts/25227/taiwan-house-price-index,,尚未明朗,網站防爬蟲機制啟動，未能取得台灣六都房價指數數據，無法判斷趨勢。,因網站防火牆阻擋，未能取得房價數據，無法評估其趨勢。,尚未明朗
2026-05-27,3,TLT 長天期美債 ETF 價格,2026-05-27,https://finance.yahoo.com/quote/TLT,,尚未明朗,TLT 長天期美債 ETF 的單日收盤價為 85.30，僅憑單日數據無法判斷其下跌趨勢。,僅有單日收盤價，尚不足以驗證長天期美債ETF是否呈現下跌趨勢。,尚未明朗
2026-06-13,1,元大台灣50 (0050) / 台積電 (2330) 股價,2026-06-11,,尚未明朗,元大台灣50 (0050) 於2026年6月11日的收盤價為99.85元。,由於缺乏言論發表時的0050價格作為基準，目前無法判斷其是否符合上漲預期。,尚未明朗,99.8499984741211
2026-06-13,2,台灣六都房價指數,2025-12-31,⚠️,尚未明朗,台北市住宅價格季指數在2025年第四季為126.88，季變動率為-0.02%，顯示微幅下跌。,提供的房價數據日期早於言論發表日期，目前無法評估預測方向是否符合。,尚未明朗,126.88
2026-06-13,3,TLT 長天期美債 ETF 價格,2026-06-12,,尚未明朗,TLT長天期美債ETF於2026年6月12日的收盤價為85.77元。,因缺乏言論發表時的TLT價格進行比較，目前無法判斷其是否符合下跌預期。,尚未明朗,85.7699966430664
2026-06-14,1,元大台灣50 (0050) / 台積電 (2330) 股價,2026-06-12,,尚未明朗,元大台灣50 (0050) 的收盤價為 101.95 元（來源日期：2026-06-12）。由於僅提供單一數據點，目前無法判斷自言論發布以來的上升趨勢。,0050 最新收盤價為 101.95 元（來源日期：2026-06-12），目前尚無足夠數據判斷上升趨勢。,尚未明朗,101.94999694824219
2026-06-14,2,台灣六都房價指數,2025-12-31,⚠️,不符合,台北市住宅價格季指數在 2025 年第四季為 126.88（來源日期：2025-12-31），季變動率為 -0.02%（來源日期：2025-12-31），顯示為微幅下降。,台北市住宅價格季指數於 2025 年第四季呈現微幅下降 0.02%（來源日期：2025-12-31），與吳淡如看好的「優質房產抗通膨」的上升預測不符。,尚未明朗,126.88
2026-06-14,3,TLT 長天期美債 ETF 價格,2026-06-12,,尚未明朗,TLT 長天期美債 ETF 的收盤價為 85.77 美元（來源日期：2026-06-12）。由於僅提供單一數據點，目前無法判斷自言論發布以來的下降趨勢。,TLT 最新收盤價為 85.77 美元（來源日期：2026-06-12），目前無法判斷其是否符合原始預測的下降趨勢。,尚未明朗,85.7699966430664
2026-06-16,1,元大台灣50 (0050) / 台積電 (2330) 股價,2026-06-15,,尚未明朗,元大台灣50 (0050) 的收盤價為 105.25 元（來源日期：2026-06-15）。單一數據無法判斷上升趨勢。,元大台灣50收盤價為105.25元，缺乏歷史數據以判斷趨勢。,尚未明朗,105.25
2026-06-16,2,台灣六都房價指數,2025-12-31,⚠️,不符合,台北市住宅價格季指數在2025年第四季為126.88，季變動率為 -0.02%（來源日期：2025年第四季）。,台北市住宅價格季指數顯示微幅下降，與吳淡如看好的房價上漲預測不符。,尚未明朗,126.88
2026-06-16,3,TLT 長天期美債 ETF 價格,2026-06-15,,尚未明朗,TLT 長天期美債 ETF 的收盤價為 85.72 元（來源日期：2026-06-15）。單一數據無法判斷下降趨勢。,TLT長天期美債ETF收盤價為85.72元，缺乏歷史數據以判斷趨勢。,尚未明朗,85.72000122070312
2026-06-18,1,元大台灣50 (0050) / 台積電 (2330) 股價,2026-06-16,,尚未明朗,元大台灣50 (0050) 在 2026 年 6 月 16 日的收盤價為 105.90（來源日期：2026-06-16）。,目前數據僅為單日收盤價，缺乏足夠歷史數據以判斷趨勢是否符合「上升」預測。,尚未明朗,105.9000015258789
2026-06-18,2,台灣六都房價指數,2025-12-31,⚠️,不符合,台北市住宅價格季指數（全市）在 2025 年第四季為 126.88，季變動率為 -0.02%（來源日期：2025-12-31）。標準住宅總價為 2010 萬元（來源日期：2025-12-31）。,台北市住宅價格季指數顯示微幅下跌，與吳淡如預測的「上升」方向不符。,尚未明朗,126.88
2026-06-18,3,TLT 長天期美債 ETF 價格,2026-06-17,,尚未明朗,TLT 長天期美債 ETF 在 2026 年 6 月 17 日的收盤價為 86.33（來源日期：2026-06-17）。,目前數據僅為單日收盤價，缺乏足夠歷史數據以判斷趨勢是否符合「下降」預測。,尚未明朗,86.33000183105469
2026-06-20,1,元大台灣50 (0050) / 台積電 (2330) 股價,2026-06-18,,符合,元大台灣50 (0050) 的收盤價在2026年6月18日為107.30元（來源日期：2026-06-18）。相較於吳淡如發言的2026年5月15日，當時0050的收盤價為95.40元（來源日期：2026-05-15），目前價格呈現上升趨勢。,0050股價自發言以來呈現上升，符合優質股票抗通膨的預測。,中,107.30000305175781
2026-06-20,2,台灣六都房價指數,2025-12-31,⚠️,不符合,台北市住宅價格季指數（全市）在2025年第四季為126.88（來源日期：2025-12-31），季變動率為-0.02%（來源日期：2025-12-31），顯示該季度房價微幅下跌。,台北市房價指數在最新一季呈現微幅下跌，不符合核心房產上升的預測。,中,126.88
2026-06-20,3,TLT 長天期美債 ETF 價格,2026-06-18,,不符合,TLT長天期美債ETF的收盤價在2026年6月18日為86.75元（來源日期：2026-06-18）。而2026年5月的月度收盤價為85.76元（來源日期：2026年5月），且52週低點曾於2026年5月19日達到82.77元（來源日期：2026-05-19）。相較於吳淡如發言的2026年5月15日後，目前價格呈現上升趨勢。,TLT長天期美債ETF價格在發言後呈現上升，與不看好傳統債券的預測不符。,中,86.75
